season,date,home_team,away_team,home_score,away_score,result_code,source,odds_home_pinnacle,odds_draw_pinnacle,odds_away_pinnacle,odds_home_max,odds_draw_max,odds_away_max,odds_home_avg,odds_draw_avg,odds_away_avg,imp_home_pinnacle,imp_draw_pinnacle,imp_away_pinnacle,overround_pinnacle,imp_home_max,imp_draw_max,imp_away_max,overround_max,imp_home_avg,imp_draw_avg,imp_away_avg,overround_avg
2012/2013,2012-09-02,Santos Laguna,Tigres UANL,3,1,1,football-data,2.94,3.36,2.59,2.94,3.36,2.9,2.57,3.17,2.64,0.3401360544217687,0.2976190476190476,0.3861003861003861,0.023855488141202308,0.3401360544217687,0.2976190476190476,0.3448275862068966,-0.017417311752287112,0.38910505836575876,0.31545741324921134,0.3787878787878788,0.08335035040284877
2012/2013,2012-09-02,Toluca,America,1,1,0,football-data,2.46,3.55,2.97,2.52,3.55,3.2,2.34,3.22,2.88,0.4065040650406504,0.28169014084507044,0.33670033670033667,0.02489454258605761,0.3968253968253968,0.28169014084507044,0.3125,-0.00898446232953276,0.4273504273504274,0.3105590062111801,0.3472222222222222,0.08513165578382953
2012/2013,2012-09-15,America,Santos Laguna,2,0,1,football-data,1.82,4.04,4.34,2.04,4.04,4.34,1.84,3.58,3.86,0.5494505494505494,0.24752475247524752,0.2304147465437788,0.027390048469575712,0.49019607843137253,0.24752475247524752,0.2304147465437788,-0.03186442254960109,0.5434782608695652,0.27932960893854747,0.2590673575129534,0.08187522732106611
2012/2013,2012-09-15,Chiapas,Toluca,2,0,1,football-data,2.54,3.38,2.96,2.85,3.45,2.96,2.57,3.2,2.62,0.39370078740157477,0.2958579881656805,0.33783783783783783,0.027396613405092918,0.3508771929824561,0.2898550724637681,0.33783783783783783,-0.02142989671593798,0.38910505836575876,0.3125,0.38167938931297707,0.08328444767873577
2012/2013,2012-09-15,Leon,Guadalajara,1,2,-1,football-data,1.63,4.08,5.97,1.83,4.08,6.0,1.67,3.61,4.84,0.6134969325153374,0.24509803921568626,0.16750418760469013,0.02609915933571383,0.5464480874316939,0.24509803921568626,0.16666666666666666,-0.04178720668595315,0.5988023952095809,0.2770083102493075,0.2066115702479339,0.08242227570682226
2012/2013,2012-09-15,Pachuca,Morelia,3,2,1,football-data,2.44,3.32,3.18,2.5,3.5,3.2,2.36,3.13,2.93,0.4098360655737705,0.30120481927710846,0.31446540880503143,0.025506293655910284,0.4,0.2857142857142857,0.3125,-0.0017857142857142794,0.42372881355932207,0.3194888178913738,0.341296928327645,0.08451455977834099
2012/2013,2012-09-16,Atlas,Queretaro,0,0,0,football-data,1.6,4.01,6.59,1.65,4.2,6.59,1.58,3.64,5.62,0.625,0.24937655860349128,0.15174506828528073,0.026121626888772065,0.6060606060606061,0.23809523809523808,0.15174506828528073,-0.004099087558875114,0.6329113924050632,0.2747252747252747,0.17793594306049823,0.08557261019083628
2012/2013,2012-09-16,Puebla,Monterrey,2,3,-1,football-data,4.04,3.45,2.04,4.04,3.46,2.2,3.41,3.24,2.07,0.24752475247524752,0.2898550724637681,0.49019607843137253,0.027575903370388177,0.24752475247524752,0.28901734104046245,0.45454545454545453,-0.008912451938835497,0.29325513196480935,0.30864197530864196,0.48309178743961356,0.08498889471306503
2012/2013,2012-09-16,Pumas UNAM,Atl. San Luis,0,1,-1,football-data,1.82,3.74,4.82,1.83,3.74,5.5,1.74,3.46,4.55,0.5494505494505494,0.267379679144385,0.20746887966804978,0.024299108262984204,0.5464480874316939,0.267379679144385,0.18181818181818182,-0.0043540516057392065,0.5747126436781609,0.28901734104046245,0.21978021978021978,0.08351020449884317
2012/2013,2012-09-16,Tigres UANL,Cruz Azul,2,0,1,football-data,2.18,3.51,3.55,2.2,3.51,4.0,2.05,3.23,3.49,0.4587155963302752,0.2849002849002849,0.28169014084507044,0.025306022075630485,0.45454545454545453,0.2849002849002849,0.25,-0.010554260554260564,0.48780487804878053,0.30959752321981426,0.28653295128939826,0.08393535255799289
